age,citizenship,event_location_district,event_location_region,gender,took_part_in_the_hostilities,place_of_residence_district,type_of_injury,ammunition,killed_by,event_year,event_month
24.0,Palestinian,Gaza,Gaza Strip,M,0.0,Khan Yunis,gunfire,live ammunition,Israeli security forces,2023,9
51.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2023,5
33.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2023,5
49.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2023,5
25.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Rafah,gunfire,missile,Israeli security forces,2023,5
43.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2023,5
43.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2023,5
36.0,Palestinian,North Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,missile,Israeli security forces,2023,5
21.0,Palestinian,North Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,missile,Israeli security forces,2023,5
31.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2023,5
23.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2023,5
33.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2023,5
25.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2023,5
28.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2023,5
23.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,gunfire,missile,Israeli security forces,2023,5
26.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,gunfire,missile,Israeli security forces,2023,5
17.0,Palestinian,Gaza,Gaza Strip,F,0.0,Gaza,gunfire,missile,Israeli security forces,2023,5
8.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,missile,Israeli security forces,2023,5
33.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2023,5
27.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2023,5
48.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2023,5
52.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,missile,Israeli security forces,2023,5
19.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,missile,Israeli security forces,2023,5
44.0,Palestinian,Gaza,Gaza Strip,F,0.0,Gaza,gunfire,missile,Israeli security forces,2023,5
10.0,Palestinian,Gaza,Gaza Strip,F,0.0,Gaza,gunfire,missile,Israeli security forces,2023,5
61.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,gunfire,missile,Israeli security forces,2023,5
4.0,Palestinian,Gaza,Gaza Strip,F,0.0,Gaza,gunfire,missile,Israeli security forces,2023,5
61.0,Palestinian,Rafah,Gaza Strip,F,0.0,Rafah,gunfire,missile,Israeli security forces,2023,5
19.0,Palestinian,Gaza,Gaza Strip,F,0.0,Gaza,gunfire,missile,Israeli security forces,2023,5
44.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2023,5
43.0,Palestinian,Gaza,Gaza Strip,F,0.0,Gaza,gunfire,missile,Israeli security forces,2023,5
58.0,Palestinian,Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,missile,Israeli security forces,2023,5
16.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,missile,Israeli security forces,2022,8
13.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,missile,Israeli security forces,2022,8
3.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,missile,Israeli security forces,2022,8
16.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,missile,Israeli security forces,2022,8
15.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,missile,Israeli security forces,2022,8
21.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,missile,Israeli security forces,2022,8
19.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,missile,Israeli security forces,2022,8
42.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,missile,Israeli security forces,2022,8
35.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,shelling,bomb,Israeli security forces,2022,8
46.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,shelling,bomb,Israeli security forces,2022,8
41.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,shelling,bomb,Israeli security forces,2022,8
13.0,Palestinian,Rafah,Gaza Strip,M,0.0,Rafah,shelling,bomb,Israeli security forces,2022,8
30.0,Palestinian,Rafah,Gaza Strip,M,0.0,Rafah,shelling,bomb,Israeli security forces,2022,8
50.0,Palestinian,Rafah,Gaza Strip,F,0.0,Rafah,shelling,bomb,Israeli security forces,2022,8
30.0,Palestinian,Rafah,Gaza Strip,F,0.0,Rafah,shelling,bomb,Israeli security forces,2022,8
23.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2022,8
27.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2022,8
10.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2022,8
28.0,Palestinian,North Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,missile,Israeli security forces,2022,8
22.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,shell,Israeli security forces,2022,8
5.0,Palestinian,Gaza,Gaza Strip,F,0.0,Gaza,gunfire,missile,Israeli security forces,2022,8
23.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2022,8
28.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2022,8
34.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2022,8
10.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2022,8
27.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,shell,Israeli security forces,2022,8
25.0,Palestinian,North Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,shell,Israeli security forces,2022,8
50.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,shelling,bomb,Israeli security forces,2022,8
38.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,shelling,bomb,Israeli security forces,2022,8
50.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,missile,Israeli security forces,2022,8
39.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Deir al-Balah,gunfire,live ammunition,Israeli security forces,2021,9
27.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,live ammunition,Israeli security forces,2021,9
13.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,live ammunition,Israeli security forces,2021,8
31.0,Palestinian,Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,live ammunition,Israeli security forces,2021,8
23.0,Palestinian,North Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2021,5
35.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2021,5
22.0,Palestinian,North Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2021,5
26.0,Palestinian,North Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,missile,Israeli security forces,2021,5
40.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2021,5
31.0,Palestinian,North Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,missile,Israeli security forces,2021,5
10.0,Palestinian,North Gaza,Gaza Strip,F,0.0,North Gaza,gunfire,missile,Israeli security forces,2021,5
20.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2021,5
22.0,Palestinian,Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,missile,Israeli security forces,2021,5
63.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,live ammunition,Israeli security forces,2021,5
22.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2021,5
19.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2021,5
28.0,Palestinian,North Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,missile,Israeli security forces,2021,5
54.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,missile,Israeli security forces,2021,5
10.0,Palestinian,Gaza,Gaza Strip,F,0.0,Gaza,gunfire,missile,Israeli security forces,2021,5
36.0,Palestinian,North Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,missile,Israeli security forces,2021,5
24.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2021,5
23.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2021,5
31.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2021,5
